,Date,GameID,Drive,qtr,down,time,TimeUnder,TimeSecs,PlayTimeDiff,SideofField,yrdln,yrdline100,ydstogo,ydsnet,GoalToGo,FirstDown,posteam,DefensiveTeam,desc,PlayAttempted,Yards.Gained,sp,Touchdown,ExPointResult,TwoPointConv,DefTwoPoint,Safety,Onsidekick,PuntResult,PlayType,Passer,Passer_ID,PassAttempt,PassOutcome,PassLength,AirYards,YardsAfterCatch,QBHit,PassLocation,InterceptionThrown,Interceptor,Rusher,Rusher_ID,RushAttempt,RunLocation,RunGap,Receiver,Receiver_ID,Reception,ReturnResult,Returner,BlockingPlayer,Tackler1,Tackler2,FieldGoalResult,FieldGoalDistance,Fumble,RecFumbTeam,RecFumbPlayer,Sack,Challenge.Replay,ChalReplayResult,Accepted.Penalty,PenalizedTeam,PenaltyType,PenalizedPlayer,Penalty.Yards,PosTeamScore,DefTeamScore,ScoreDiff,AbsScoreDiff,HomeTeam,AwayTeam,Timeout_Indicator,Timeout_Team,posteam_timeouts_pre,HomeTimeouts_Remaining_Pre,AwayTimeouts_Remaining_Pre,HomeTimeouts_Remaining_Post,AwayTimeouts_Remaining_Post,No_Score_Prob,Opp_Field_Goal_Prob,Opp_Safety_Prob,Opp_Touchdown_Prob,Field_Goal_Prob,Safety_Prob,Touchdown_Prob,ExPoint_Prob,TwoPoint_Prob,ExpPts,EPA,airEPA,yacEPA,Home_WP_pre,Away_WP_pre,Home_WP_post,Away_WP_post,Win_Prob,WPA,airWPA,yacWPA,Season
359034,2016-12-24,2016122411,16,3,1.0,02:51,3,1071.0,32.0,HOU,45.0,55.0,20,27,0.0,0.0,HOU,CIN,(2:51) (Shotgun) T.Savage pass short middle to D.Hopkins to CIN 49 for 6 yards (N.Vigil) [W.Gilberry].,1,6,0,0,,,,0,0,,Pass,T.Savage,00-0031064,1,Complete,Short,5,1,1,middle,0,,,None,0,,,D.Hopkins,00-0030564,1,,,,,,,,0,,,0,0,,0,,,,0,3.0,3.0,0.0,0.0,HOU,CIN,0,None,3,3,2,3,2,0.015755465023059804,0.102458771973045,0.0008431239796291354,0.15523226389358644,0.33166554369030865,0.003986416440373645,0.3900584149999974,0.0,0.0,2.3376899578181565,0.05605739812982602,-0.051179011469185465,0.10723640959901147,0.5532259834322527,0.4467740165677473,0.5552324296564594,0.44476757034354064,0.5532259834322527,0.0020064462242066483,-0.0018528981910606035,0.0038593444152672522,2016
289930,2015-11-01,2015110100,13,3,,08:53,9,1433.0,5.0,DET,15.0,15.0,0,61,0.0,0.0,KC,DET,"C.Santos extra point is GOOD, Center-J.Winchester, Holder-D.Colquitt.",1,0,1,0,Made,,,0,0,,Extra Point,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,0,,,,0,30.0,3.0,27.0,27.0,KC,DET,0,None,3,3,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931114949971538,0.0,0.931114949971538,0.0688850500284619,,,0.9986080468395327,0.0013919531604671411,0.9973680716303512,0.002631928369648761,0.9986080468395327,-0.0012399752091816207,,,2015
141175,2012-09-23,2012092305,29,5,3.0,06:32,7,-508.0,0.0,NO,13.0,13.0,6,40,0.0,0.0,KC,NO,"(6:32) R.Succop 31 yard field goal is GOOD, Center-T.Gafford, Holder-D.Colquitt.",1,0,1,0,,,,0,0,,Field Goal,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,Good,31.0,0,,,0,0,,0,,,,0,24.0,24.0,0.0,0.0,NO,KC,0,None,1,2,1,2,1,0.016304531445404634,0.00844119658252823,0.0001269735452347154,0.012881589293269385,0.9527664668203104,0.0002129107145647609,0.009266331598688005,0.0,0.0,2.8078408811899367,0.1921591188100633,,,0.03775429086643701,0.962245709133563,,,0.962245709133563,,,,2012
198848,2013-10-21,2013102100,1,1,2.0,06:20,7,3080.0,36.0,MIN,21.0,21.0,8,68,0.0,0.0,NYG,MIN,"(6:20) M.Cox left tackle to MIN 16 for 5 yards (C.Greenway, M.Mitchell).",1,5,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,M.Cox,00-0030128,1,left,tackle,,None,0,,,,C.Greenway,M.Mitchell,,,0,,,0,0,,0,,,,0,0.0,0.0,0.0,0.0,NYG,MIN,0,None,3,3,3,3,3,0.002802487762341552,0.038892508219428634,8.334563349197299e-05,0.060171951790457624,0.4242793350202058,0.0028362553348197307,0.4709341162392545,0.0,0.0,4.0370014509465655,-0.2513398418147599,,,0.6210052239998299,0.37899477600017,0.6122200605830744,0.3877799394169256,0.6210052239998299,-0.008785163416755616,,,2013
277913,2015-09-27,2015092703,12,2,3.0,01:06,2,1866.0,5.0,HOU,46.0,46.0,10,21,0.0,0.0,TB,HOU,(1:06) (Shotgun) J.Winston pass incomplete deep middle to M.Evans [J.Crick].,1,0,0,0,,,,0,0,,Pass,J.Winston,00-0031503,1,Incomplete Pass,Deep,16,0,1,middle,0,,,None,0,,,M.Evans,00-0031408,0,,,,,,,,0,,,0,0,,0,,,,0,9.0,7.0,2.0,2.0,HOU,TB,0,None,1,1,1,1,1,0.5264529758925066,0.042447313892618924,0.000685334510234996,0.031653418148227745,0.2575369303754285,0.000860532820555245,0.14036349436042805,0.0,0.0,1.406589779554471,-0.6371460503557984,1.3540710866940588,-1.9912171370498573,0.389773391435704,0.610226608564296,0.4113088335739674,0.5886911664260326,0.610226608564296,-0.021535442138263416,0.047666238729426436,-0.06920168086768985,2015
293093,2015-11-08,2015110800,3,1,2.0,09:39,10,3279.0,4.0,STL,31.0,69.0,10,11,0.0,0.0,STL,MIN,(9:39) N.Foles pass incomplete deep right to B.Quick [B.Robison].,1,0,0,0,,,,0,0,,Pass,N.Foles,00-0029567,1,Incomplete Pass,Deep,24,0,1,right,0,,,None,0,,,B.Quick,00-0029640,0,,,,,,,,0,,,0,0,,0,,,,0,0.0,3.0,-3.0,3.0,MIN,STL,0,None,3,3,3,3,3,0.004586401664914593,0.16447817033171305,0.003706691776173304,0.2549239934010605,0.24255015718658585,0.00397611245062836,0.3257784731889244,0.0,0.0,0.7307361604285756,-1.0140548518315655,2.5844478890216145,-3.5985027408531804,0.5786480141838255,0.4213519858161745,0.6110863075197802,0.3889136924802197,0.4213519858161745,-0.032438293335954715,0.07759189128258859,-0.1100301846185433,2015
228615,2014-09-14,2014091406,16,3,1.0,10:57,11,1557.0,0.0,DAL,20.0,80.0,10,3,0.0,0.0,DAL,TEN,(10:57) D.Murray left tackle to DAL 23 for 3 yards (B.Pollard).,1,3,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,D.Murray,00-0028009,1,left,tackle,,None,0,,,,B.Pollard,,,,0,,,0,0,,0,,,,0,16.0,3.0,13.0,13.0,TEN,DAL,0,None,3,3,3,3,3,0.004000026152223528,0.17790902910380407,0.006547873212044132,0.2757115263260697,0.21481102082104425,0.003551093899740569,0.3174694304850737,0.0,0.0,0.39701774564014136,-0.2865215164583692,,,0.11856430682365215,0.8814356931763478,0.12274013024518934,0.8772598697548106,0.8814356931763478,-0.004175823421537217,,,2014
81836,2010-12-19,2010121907,18,4,3.0,14:23,15,863.0,37.0,ARI,20.0,80.0,10,0,0.0,0.0,ARI,CAR,(14:23) (Shotgun) J.Skelton pass incomplete deep middle to E.Doucet (J.Beason).,1,0,0,0,,,,0,0,,Pass,J.Skelton,00-0027754,1,Incomplete Pass,Deep,27,0,0,middle,0,,,None,0,,,E.Doucet,00-0026221,0,,,,,,,,0,,,0,0,,0,,,,0,3.0,19.0,-16.0,16.0,CAR,ARI,0,None,3,3,3,3,3,0.06048325620324019,0.2271972182158993,0.008147435614193031,0.3376022849932304,0.1421405297565876,0.003978723741050355,0.2204505514757993,0.0,0.0,-1.0835696237462378,-1.2524886277245193,3.9171012870182578,-5.169589914742778,0.9487242119176788,0.051275788082321284,0.9595493184089788,0.04045068159102125,0.051275788082321284,-0.010825106491300043,0.04084121226078667,-0.05166631875208672,2010
2735,2009-09-14,2009091401,21,4,,00:46,1,46.0,14.0,OAK,23.0,23.0,0,76,0.0,,,,Timeout #2 by SD at 00:46.,1,0,0,0,,,,0,0,,Timeout,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,0,,,,0,,,,,OAK,SD,1,SD,2,2,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,2009
311049,2015-12-24,2015122400,4,1,4.0,01:18,2,2778.0,5.0,SD,42.0,58.0,10,17,0.0,1.0,SD,OAK,"(1:18) M.Scifres punts 48 yards to OAK 10, Center-M.Windt. J.Ross to OAK 10 for no gain (D.Stuckey).",1,0,0,0,,,,0,0,Clean,Punt,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,J.Ross,,D.Stuckey,,,,0,,,0,0,,0,,,,0,7.0,7.0,0.0,0.0,OAK,SD,0,None,2,3,2,3,2,0.0349110651737529,0.2137071280148927,0.0034795797817123364,0.3113934920662721,0.2285151415266645,0.00603685848721431,0.20195673494949126,0.0,0.0,-0.7165187018711465,1.1131382108930172,,,0.5610830293554059,0.4389169706445941,0.4782038494470716,0.5217961505529284,0.4389169706445941,0.08287917990833432,,,2015
